@relation train

@attribute sentence string 
@attribute org.luima.types.vip.VaccineMention {0, 1}
@attribute org.luima.types.vip.AdverseMedicalConditionMention {0, 1}
@attribute org.luima.types.vip.CausalityRelationMention {0, 1}
@attribute org.luima.types.vip.CausationConceptMention {0, 1}
@attribute org.luima.types.vip.VaccinationEventMention {0, 1}
@attribute org.luima.types.Citation {0, 1}
@attribute org.luima.types.reasoning.LegalRuleSentence {0, 1}
@attribute org.luima.types.reasoning.LegalPolicySentence {0, 1}
@attribute org.luima.types.reasoning.EvidenceBasedFindingSentence {0, 1}
@attribute org.luima.types.reasoning.EvidenceBasedReasoningSentence {0, 1}
@attribute org.luima.types.reasoning.EvidenceSentence {0, 1}
@attribute org.luima.types.reasoning.ProcessProceduralFactSentence {0, 1}
@attribute org.luima.types.reasoning.RulingHoldingSentence {0, 1}

@data 
"For all of these reasons, I am convinced that Dr. Lacy is completely sincere in his opinion that petitioner’s gastroparesis likely was caused by her vaccination.Secondly, Dr. Lacy was willing to appear and answer questions concerning his opinion, and he answered all questions in a forthright, cogent, and convincing manner.",0,1,1,0,1,0,0,0,0,1,0,0,0
"In contrast, for whatever reason, the respondent did not present oral testimony from Dr. Caserta or any other expert.",0,0,0,0,0,0,0,0,0,1,0,0,0
"Thus, while I certainly have no doubt about the sincerity of Dr. Caserta’s opinion, the fact that I have had no opportunity to test the strength of Dr. Caserta’s reasoning, by asking him questions, gives me reason to incline to the opinion of Dr. Lacy over that of Dr. Caserta.",0,0,0,0,0,0,0,0,0,1,0,0,0
"Third, Dr. Lacy has superb credentials to provide an opinion concerning petitioner’s case.",0,0,0,0,0,0,0,0,0,1,0,0,0
"He is board-certified in both internal medicine and gastroenterology.",0,0,0,0,0,0,0,0,0,1,0,0,0
"He has had medical teaching positions, and also occupied supervisory positions in gastroenterology treatment, at two prestigious medical/educational institutions, the Johns Hopkins Bayview Medical Center and the Dartmouth Hitchcock Medical Center.",0,0,0,0,0,0,0,0,0,1,0,0,0
"Moreover, at the hearing, Dr. Lacy explained that not only does he specialize in disorders of the type from which petitioner suffers, but in his practice he sees more patients with gastroparesis than all but a small handful of physicians.",0,1,0,0,0,0,0,0,0,1,0,0,0
"These credentials give me additional reason to credit Dr. Lacy’s opinion.",0,0,0,0,0,0,0,0,0,1,0,0,0
"Fourth, I simply found Dr. Lacy’s explanation for his opinion to be logical, plausible, and persuasive.",0,0,0,0,0,0,0,0,0,1,0,0,0
"Dr. Lacy explained his theory that vaccinations can produce inflammation, and that inflammation can damage the vaccinee’s nervous system, thereby causing the gastroparesis.",0,1,1,0,1,0,0,0,0,1,0,0,0
"He explained how this theory is supported by the fact that viral illnesses, which can also produce inflammation, are thought to be a common cause of gastroparesis.",0,1,1,0,0,0,0,0,0,1,0,0,0
"His article pointed out that this theory is also supported by the facts that the tetanus vaccine has been found to be a likely cause of the nervous system disorders Guillain-Barre Syndrome and brachial neuritis, and that the hepatitis B and anthrax vaccines have also been known to cause neurological disorder.",1,1,1,0,0,0,0,0,0,1,0,0,0
"He also explained that genetic reasons could explain why some individuals, and not others, are vulnerable to injury of this type.",0,1,0,0,0,0,0,0,0,1,0,0,0
"Respondent’s expert has not attempted to point out any logical flaws in this reasoning set forth by Dr. Lacy,and I have not myself identified any flaws.",0,0,0,0,0,0,0,0,0,1,0,0,0
"In this regard, I note that I have carefully considered the written report of Dr. Caserta.",0,0,0,0,0,0,0,0,0,1,0,0,0
"As noted above, I have no doubt that Dr. Caserta was sincere in his opinion, and he certainly made some good points.",0,0,0,0,0,0,0,0,0,1,0,0,0
"Dr. Caserta was correct in pointing out that, in general, the causation of gastroparesis is not well-understood, and that in a very substantial percentage of cases of gastroparesis, no cause is ever determined.",0,1,0,1,0,0,0,0,0,1,0,0,0
"He is also correct that it is certainly not well established that vaccines in general, or the tetanus vaccination in particular, can cause gastroparesis.",1,1,1,0,1,0,0,0,0,1,0,0,0
"He is correct that the only medical literature in the record of this case, relevant to the issue of whether the tetanus vaccine can cause gastroparesis, is the Pande-Lacy article discussed above.",1,1,1,0,0,0,0,0,0,1,0,0,0
"And Dr. Caserta is correct that, in general, the existence of “case reports,” such as those reported in the Pande-Lacy article, does not prove to a scientific certainty that the vaccines caused the disorders in question; such case reports offer some evidence pointing toward the possibility of a causal relationships, but, as he argued, such a causation question can be definitively answered only by means of an epidemiologic study.",1,1,1,1,0,0,0,0,0,1,0,0,0
"However, although these points of Dr. Caserta are important, in my view they do not justify a conclusion that the petitioner in this case has failed to demonstrate that it is “more probable than not” that her own gastroparesis was vaccine-caused.",1,1,1,0,0,0,0,0,0,1,0,0,0
"Dr. Caserta is correct, of course, that in the absence of an epidemiologic study showing a statistical association between tetanus vaccination and gastroparesis, it cannot be established to a scientific certainty that the tetanus vaccine can cause gastroparesis.",1,1,1,0,1,0,0,0,0,1,0,0,0
"However, the standard of “scientific certainty” is not the standard for showing causation that is applicable to this proceeding.",0,0,0,1,0,0,0,0,0,0,0,0,1
"Rather, as noted above, the applicable standard is that the petitioner must show that it is “more probable than not” that the vaccination was the cause of the injury.",0,1,1,0,1,0,0,0,0,0,0,0,1
"Further, the U.S. Court of Appeals for the Federal Circuit has recently specified that a petitioner’s “causation-in-fact” claim need not be supported by “objective confirmation” in “medical literature,” if it is supported by expert medical opinion.",0,0,0,1,0,0,1,0,0,0,0,0,0
"Althen, 418 F. 3d at 1279-1280.",0,0,0,0,0,1,0,0,0,0,0,0,0
"That court also stated that “circumstantial evidence” may, in a specific case, support a finding of causation-in- fact.",0,0,0,1,0,0,1,0,0,0,0,0,0
"Id. at 1280.",0,0,0,0,0,1,0,0,0,0,0,0,0
"See also Pafford v. Secretary of HHS, 64 Fed. Cl. 19, 27-30 (2005), in which Judge Block explained that causation-in-fact may, in appropriate circumstances, be demonstrated in the absence of epidemiologic evidence, by means of a “plausibility” showing; and Kelley v. Secretary of HHS, 68 Fed. Cl. 84, 99 (2005), in which Judge Hewitt stated that under Althen, a causation-in-fact showing “does not require ‘known,’ ‘studied,’ ‘exact,’ or ‘conclusive’ evidence of causation.”In this case, I conclude that there exists sufficient evidence in the record to conclude that it is “more probable than not” that petitioner’s chronic gastroparesis was caused by her tetanus vaccination.",0,1,1,1,1,1,0,0,1,0,0,0,0
"Dr. Lacy has set forth a theory, concerning how the tetanus vaccination might have caused petitioner’s gastroparesis, that, as I have explained above, is logical and plausible.",0,1,1,0,1,0,0,0,1,0,0,0,0
"Respondent’s expert has not pointed out any flaws in that theory.",0,0,0,0,0,0,0,0,0,1,0,0,0
"Instead, the reasoning of respondent’s expert, as set forth in his written report, seems to be that one can never reasonably conclude that a vaccination caused an injury, without an epidemiologic study.",0,1,1,0,1,0,0,0,0,1,0,0,0
"That reasoning is simply contrary to the law that governs Vaccine Act cases.",0,0,0,0,0,0,0,0,0,1,0,0,0
"I conclude that in this case, the required showing of “causation-in-fact” was made by petitioner.",0,0,0,1,0,0,0,0,1,0,0,0,0
"For the reasons stated above, I find it “more probable than not” that petitioner’s chronic gastroparesis was vaccine-caused.",1,1,1,0,0,0,0,0,1,0,0,0,0
"Therefore, I conclude that she is entitled to a Program award on account of that chronic condition.",0,1,0,0,0,0,0,0,0,0,0,0,1
"I will soon schedule a status conference to discuss the issue of the appropriate amount of the award.",0,0,0,0,0,0,0,0,0,0,0,0,0
"Footnote 1.",0,0,0,0,0,0,0,0,0,0,0,0,0
"Because I have designated this document to be published, this document will be made available to the public unless petitioner files, within fourteen days, an objection to the disclosure of any material in this decision that would constitute “medical files and similar files the disclosure of which would constitute a clearly unwarranted invasion of privacy.” See 42 U.S.C. § 300aa- 12(d)(4)(B);",0,0,0,0,0,0,0,0,0,0,0,0,1
"Vaccine Rule 18(b).",0,0,0,0,0,0,0,0,0,0,0,0,0
"Footnote 2.",0,0,0,0,0,0,0,0,0,0,0,0,0
"The applicable statutory provisions defining the Program are found at 42 U.S.C. § 300aa-10 et seq.",0,0,0,0,0,0,0,0,0,0,0,0,0
"Hereinafter, for ease of citation, all § references will be to 42 U.S.C. (2000 ed.).",0,0,0,0,0,0,0,0,0,0,0,1,0
"I will also sometimes refer to the Act of Congress that created the Program as the “Vaccine Act.”Footnote 3.",0,0,0,0,0,0,0,0,0,0,0,1,0
"Petitioner was known as Colleen Berry, but recently changed her last name to Roper upon her marriage.",0,0,0,0,0,0,0,0,0,0,1,0,0
"Footnote 4.",0,0,0,0,0,0,0,0,0,0,0,0,0
"Footnote 5.",0,0,0,0,0,0,0,0,0,0,0,0,0
"Petitioner filed Exhibits 1 through 4 with the petition, and Exhibits 5 and 6 separately thereafter; respondent has filed Exs.",0,0,0,0,0,0,0,0,0,0,0,0,0
"A through I. “Ex.” references will be to those exhibits.",0,0,0,0,0,0,0,0,0,0,0,1,0
"Footnote 6.",0,0,0,0,0,0,0,0,0,0,0,0,0
"Gastroparesis is a disorder of delayed stomach emptying, often involving early satiety, intermittent nausea, and vomiting after eating.",0,1,0,0,0,0,0,0,0,0,1,0,0
"Footnote 7.",0,0,0,0,0,0,0,0,0,0,0,0,0
"In Ex. 5, a letter written on January 30, 2003, Dr. Lacy stated the opinion that the tetanus vaccination “may have” caused petitioner’s gastroparesis.",0,1,1,0,0,0,0,0,0,0,0,1,0
"However, at a status conference held on January 18, 2005, both counsel (Mr. Milmoe and Mr. Shoemaker) noted that during the mediation process, Dr. Lacy had explained (the discussion was not recorded) that he found causation “probable.”Footnote 8.",0,0,0,1,0,0,0,0,0,0,0,1,0
"Dr. Lacy’s references at the hearing to “Lyme Disease” were erroneously transcribed as “lime disease.” I note also that in several places the transcript uses the word “ideologies,” when Dr. Lacy in fact said “etiologies.”Footnote 9.",0,1,0,0,0,0,0,0,0,0,0,1,0
"On May 9, 2005, petitioner’s counsel filed a motion asking me to “exclude from consideration” Exhibits “B-H” filed by respondent; the motion seems to imply that I should not consider Dr. Caserta’s opinion, which was filed once as Ex. A and again as Ex. B. The motion is now moot, since I have ruled in petitioner’s favor on the “entitlement” issue even after considering both Dr. Caserta’s report and the other exhibits filed by respondent.",0,0,0,0,0,0,0,0,0,0,0,1,1
"Footnote 10.",0,0,0,0,0,0,0,0,0,0,0,0,0
"I note that Dr. Caserta supplied his only statement of his opinion--i.e., his written report, Ex. A--prior to Dr. Lacy’s hearing testimony.",0,0,0,0,0,0,0,0,0,0,0,1,0
"This circumstances, of course, put Dr. Caserta at a significant strategic disadvantage.",0,0,0,0,0,0,0,0,0,0,0,0,0
"While much of Dr. Lacy’s reasoning did appear in the published Pande-Lacy article, Dr. Lacy explained his opinion in more detail in his oral testimony, and Dr. Caserta had no opportunity to rebut that testimony.",0,0,0,0,0,0,0,0,0,1,0,0,0
"In other words, if there were any medical flaws in Dr. Lacy’s testimony, there simply was no medical expert for respondent to point such flaws out.",0,0,0,0,0,0,0,0,0,1,0,0,0
"Footnote 11.",0,0,0,0,0,0,0,0,0,0,0,0,0
"I also note that another of petitioner’s treating gastroenterologists, Dr. Winston, also suspected that the vaccination might have caused the gastroparesis; he wrote in his records that he “wondered” whether the tetanus vaccination caused the gastroparesis by damaging petitioner’s nervous system.",0,1,1,0,1,0,0,0,0,0,1,0,0
